Depth,hzlm,UCS_pred,UCS_traditional,Es_pred,Es_traditional,us_pred,us_traditional,Fai_pred,Fai_traditional,C_pred,C_traditional
2919.875,0,49.79132347,52.9,6.665012658,6.69,0.167486757,0.16,25.81798557,25.52,12.4814145,13.4
2920,0,50.7561365,52.68,6.675362625,6.68,0.167256502,0.16,25.68873382,25.55,12.71435885,13.35
2920.125,0,49.9410105,52.15,6.654505736,6.67,0.167908473,0.16,25.83279518,25.62,12.53119663,13.22
2920.25,0,49.71709528,51.88,6.621430372,6.65,0.168151856,0.16,25.98863351,25.63,12.49044152,13.16
2920.375,0,49.73962426,52.17,6.628653884,6.66,0.167743493,0.16,25.93821366,25.55,12.50627688,13.23
2920.5,0,50.8758391,52.67,6.669420126,6.67,0.167226665,0.16,25.6538469,25.46,12.70860607,13.34
2920.625,0,50.94113575,53.14,6.700327308,6.68,0.167253038,0.16,25.57700363,25.35,12.73141277,13.45
2920.75,0,50.32698583,53.48,6.679545282,6.68,0.167148639,0.16,25.69368986,25.25,12.59657358,13.52
2920.875,0,50.03443033,53.49,6.677174224,6.68,0.16710167,0.16,25.82482321,25.22,12.59245994,13.53
2921,0,49.90547311,53.14,6.668795606,6.67,0.167648813,0.16,25.82368321,25.26,12.59516621,13.45
2921.125,0,49.94531014,52.96,6.634508214,6.65,0.16774391,0.16,25.83689558,25.23,12.604053,13.4
2921.25,0,49.89356726,53.21,6.594603188,6.64,0.16793682,0.16,25.7946307,25.04,12.59506319,13.46
2921.375,0,50.16573241,53.43,6.601244852,6.62,0.167578049,0.16,25.77501677,24.85,12.64648096,13.5
2921.5,0,49.86573023,53.16,6.598208735,6.61,0.167472935,0.16,25.7311039,24.87,12.51420636,13.44
2921.625,0,49.95552936,52.84,6.603647795,6.61,0.167552355,0.16,25.5779452,24.98,12.48981431,13.37
2921.75,0,49.91998288,52.68,6.602521077,6.62,0.167435764,0.16,25.79637131,25.1,12.60160418,13.33
2921.875,0,49.69612403,52.48,6.600809173,6.63,0.16747333,0.16,25.87628541,25.27,12.53786511,13.29
2922,0,49.89072431,52.19,6.648963304,6.65,0.167854061,0.16,26.05546429,25.53,12.51450125,13.23
2922.125,0,49.48698762,52.05,6.644666755,6.68,0.167718413,0.16,26.11579202,25.77,12.3817392,13.2
2922.25,0,49.54034137,52.01,6.661892607,6.71,0.167825942,0.16,26.13208126,25.93,12.35888248,13.2
2922.375,0,49.52833805,51.79,6.66336129,6.7,0.167191654,0.16,26.14060767,25.98,12.38778734,13.15
2922.5,0,50.0247191,51.6,6.670901527,6.68,0.167054073,0.16,25.93327785,25.89,12.5226873,13.1
2922.625,0,49.69578774,51.49,6.603614154,6.64,0.1672303,0.16,25.81483293,25.71,12.46537105,13.07
2922.75,0,49.55136537,51.24,6.598578965,6.61,0.167311096,0.16,25.87011963,25.59,12.46813487,13.01
2922.875,0,49.301982,50.94,6.59306562,6.59,0.167731404,0.17,25.80959527,25.55,12.33985856,12.93
2923,0,48.85926927,51.06,6.547119955,6.57,0.167736477,0.17,25.77152344,25.41,12.30607822,12.96
2923.125,0,49.11006296,51.83,6.550555491,6.57,0.16767038,0.17,25.6922243,25.12,12.37678685,13.13
2923.25,0,49.27785306,52.45,6.550194064,6.58,0.167326443,0.17,25.71050665,24.95,12.43463374,13.27
