Depth,hzlm,UCS_pred,UCS_traditional,Es_pred,Es_traditional,Fai_pred,Fai_traditional,us_pred,us_traditional,C_pred,C_traditional
2849.75,0,37.94278924,39.29,5.823087606,5.91,24.80540366,24.24,0.200161063,0.19,9.609096025,10.08
2849.875,0,37.25820745,39.3,5.825470177,5.91,24.64281036,24.27,0.19972165,0.19,9.540093909,10.09
2850,0,37.13968768,39.63,5.811125234,5.92,24.48754734,24.22,0.199736383,0.19,9.465779021,10.17
2850.125,0,36.81123319,40.35,5.795795472,5.95,24.4613408,24.24,0.200113653,0.19,9.384964583,10.34
2850.25,0,36.47639169,41.11,5.786310168,5.99,24.47337436,24.37,0.200512989,0.19,9.415918186,10.53
2850.375,0.565,37.25005606,41.15,5.74241434,6.01,24.3708982,24.55,0.201213733,0.19,9.501951259,10.55
2850.5,0.576,36.68142569,39.97,5.741522867,5.97,24.48587954,24.79,0.201368969,0.19,9.36518205,10.26
2850.625,0.591,36.22715188,38.27,5.727548242,5.91,24.52138818,24.88,0.201288242,0.19,9.208545331,9.84
2850.75,0.607,36.05371754,37.8,5.722251121,5.85,24.63966889,24.29,0.201417479,0.2,9.153942094,9.72
2850.875,0.622,35.80996123,40.22,5.703630529,5.86,24.7739809,22.61,0.201335265,0.2,9.019737814,10.28
2851,0.632,35.57672706,44.23,5.708075608,5.94,24.96831185,21.29,0.201523932,0.19,8.994121292,11.2
2851.125,0.645,35.61575099,45.99,5.708251171,6.06,25.02253647,22.4,0.201759492,0.19,9.008879901,11.65
2851.25,0,34.8977385,44.49,5.726574478,6.14,25.05102399,24.41,0.201298814,0.18,8.959553886,11.35
2851.375,0.652,35.8201682,41.98,5.720636515,6.12,24.91624984,25.45,0.201636948,0.18,9.135224368,10.77
2851.5,0.666,35.62330641,40.16,5.722221071,6.02,24.90449041,25.34,0.201331208,0.19,9.033613394,10.32
2851.625,0.669,35.73033886,40.05,5.7183152,5.94,24.82663303,24.26,0.201282067,0.19,9.017366663,10.27
2851.75,0.656,35.70318739,41.68,5.710525458,5.93,24.7825658,22.94,0.201501636,0.19,8.996394732,10.64
2851.875,0.673,35.20118913,43.7,5.686798385,5.97,24.78962353,22.42,0.201429025,0.19,8.798450595,11.11
2852,0.695,34.56143377,45.03,5.677494127,6.04,24.90708828,22.65,0.20196453,0.19,8.778931452,11.43
2852.125,0.701,34.45248355,45.37,5.668243572,6.06,24.94770102,22.77,0.205691377,0.19,8.69211437,11.52
2852.25,0.695,34.58673637,44.2,5.680780231,6.02,24.86291933,22.88,0.208227651,0.19,8.710870773,11.24
2852.375,0.7,34.55844773,41.13,5.678089785,5.93,24.85950168,23.46,0.208252826,0.19,8.688266015,10.52
2852.5,0.724,33.8506841,37.92,5.655012638,5.84,25.07287556,23.99,0.210291484,0.2,8.560170025,9.74
2852.625,0.729,33.75136901,36.18,5.638832857,5.76,25.10978157,23.83,0.209701594,0.2,8.580367656,9.31
2852.75,0.717,34.09853185,35.94,5.637858945,5.73,25.06566495,23.23,0.209702587,0.21,8.587849824,9.24
2852.875,0.712,34.37650524,36.14,5.635828,5.72,24.98162366,22.81,0.209734742,0.21,8.635236944,9.28
2853,0.703,34.57996994,35.98,5.638228541,5.72,24.8924448,22.94,0.209761035,0.21,8.640922874,9.25
2853.125,0.688,34.1851402,35.55,5.646558135,5.72,24.90752662,23.43,0.210996401,0.21,8.619438341,9.15
2853.25,0.684,33.3270308,35.16,5.634212305,5.73,25.11613093,23.81,0.210784377,0.21,8.458332048,9.06
2853.375,0.7,30.7112997,34.74,5.551396368,5.72,25.56331305,24.05,0.211544253,0.21,7.797905726,8.96
